,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp
0,1672531200,16545.31,16508.97,16542.13,4753.98,78578551.34,16529.42,direct,,2023-01-01 00:00:00
1,1672534800,16556.54,16526.15,16529.42,3834.61,63421368.98,16551.99,direct,,2023-01-01 01:00:00
2,1672538400,16559.7,16538.77,16551.99,4011.97,66390389.02,16548.29,direct,,2023-01-01 02:00:00
3,1672542000,16548.29,16518.73,16548.29,4627.59,76495574.59,16533.13,direct,,2023-01-01 03:00:00
4,1672545600,16535.83,16516.94,16533.13,4781.61,79007754.57,16518.46,direct,,2023-01-01 04:00:00
5,1672549200,16534.6,16512.58,16518.46,4095.4,67657093.41,16530.81,direct,,2023-01-01 05:00:00
6,1672552800,16549.75,16529.33,16530.81,3603.71,59610668.91,16540.21,direct,,2023-01-01 06:00:00
7,1672556400,16544.31,16499.59,16540.21,6048.9,99932016.4,16525.66,direct,,2023-01-01 07:00:00
8,1672560000,16533.77,16508.68,16525.66,4600.15,75990497.99,16513.36,direct,,2023-01-01 08:00:00
9,1672563600,16542.13,16505.42,16513.36,4737.46,78273875.4,16541.82,direct,,2023-01-01 09:00:00
10,1672567200,16546.98,16533.7,16541.82,4113.68,68039862.87,16544.94,direct,,2023-01-01 10:00:00
11,1672570800,16556.72,16540.52,16544.94,4034.52,66765586.38,16556.17,direct,,2023-01-01 11:00:00
12,1672574400,16572.22,16548.99,16556.17,4610.34,76348251.11,16561.19,direct,,2023-01-01 12:00:00
13,1672578000,16566.97,16539.63,16561.19,4711.97,77982929.31,16547.61,direct,,2023-01-01 13:00:00
14,1672581600,16558.28,16541.08,16547.61,3708.08,61371213.97,16542.55,direct,,2023-01-01 14:00:00
15,1672585200,16559.66,16533.63,16542.55,3522.61,58284334.46,16558.95,direct,,2023-01-01 15:00:00
16,1672588800,16583.38,16557.79,16558.95,5419.15,89789226.91,16565.01,direct,,2023-01-01 16:00:00
17,1672592400,16596.3,16562.74,16565.01,5075.68,84150944.89,16579.35,direct,,2023-01-01 17:00:00
18,1672596000,16603.57,16578.92,16579.35,4471.83,74200961.87,16591.65,direct,,2023-01-01 18:00:00
19,1672599600,16623.1,16591.35,16591.65,5007.79,83173240.33,16603.05,direct,,2023-01-01 19:00:00
20,1672603200,16627.44,16600.72,16603.05,4494.38,74662596.89,16602.99,direct,,2023-01-01 20:00:00
21,1672606800,16608.56,16593.1,16602.99,4021.04,66756535.0,16606.88,direct,,2023-01-01 21:00:00
22,1672610400,16613.46,16586.86,16606.88,4036.58,67004680.95,16602.31,direct,,2023-01-01 22:00:00
23,1672614000,16624.59,16600.95,16602.31,4556.79,75696844.15,16617.01,direct,,2023-01-01 23:00:00
24,1672617600,16628.59,16581.46,16617.01,4684.3,77762930.44,16587.94,direct,,2023-01-02 00:00:00
25,1672621200,16588.83,16549.19,16587.94,6413.79,106246845.96,16566.33,direct,,2023-01-02 01:00:00
26,1672624800,16595.59,16555.46,16566.33,3517.24,58304971.27,16587.41,direct,,2023-01-02 02:00:00
27,1672628400,16704.01,16581.98,16587.41,8860.6,147361228.25,16662.32,direct,,2023-01-02 03:00:00
28,1672632000,16674.21,16629.93,16662.32,5676.8,94499655.02,16639.33,direct,,2023-01-02 04:00:00
29,1672635600,16662.32,16619.86,16639.33,5591.1,93038985.57,16648.07,direct,,2023-01-02 05:00:00
30,1672639200,16662.55,16636.44,16648.07,4343.88,72313716.84,16640.78,direct,,2023-01-02 06:00:00
31,1672642800,16763.46,16637.79,16640.78,15934.16,266421584.47,16721.01,direct,,2023-01-02 07:00:00
32,1672646400,16770.54,16708.22,16721.01,8741.91,146336048.6,16732.95,direct,,2023-01-02 08:00:00
33,1672650000,16744.4,16712.13,16732.95,7303.02,122153701.69,16717.8,direct,,2023-01-02 09:00:00
34,1672653600,16760.15,16709.56,16717.8,7222.39,120852054.64,16727.48,direct,,2023-01-02 10:00:00
